customer_id,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,engagement_score
1,17.0,300.63,53005.25,17.0,781.75,5892.46
2,16.0,306.34,12838.38,10.0,698.25,3761.65
3,14.0,516.16,21027.0,22.0,500.69,11856.21
4,11.0,53.27,25239.56,6.0,567.66,887.28
5,20.0,113.13,24483.66,16.0,663.06,2473.14
6,23.0,433.62,13884.77,24.0,722.27,11129.15
7,10.0,55.38,8982.5,28.0,756.21,2306.8500000000004
8,19.0,429.11,44554.82,24.0,568.08,10866.72
9,15.0,191.07,18362.31,20.0,698.25,4519.65
10,10.0,97.31,19244.16,28.0,706.23,3430.9100000000003
11,14.0,570.23,35119.93,8.0,699.7,5261.54
12,14.0,55.53,41672.02,33.02434314,798.12,2631.9617745642
13,13.0,41.09,44007.18,18.0,608.26,1347.88
14,10.0,89.76,21318.19,6.0,698.25,1236.81
15,20.0,100.59,14842.62,26.0,698.25,3313.59
16,13.0,30.14,18792.31,7.0,141.5132013,352.4932013
17,5.0,333.34,47241.32,8.0,698.25,3364.97
18,12.0,275.13,29072.86,26.0,733.97,7887.35
19,9.0,241.74,33170.16,6.0,551.11,2001.55
20,14.0,31.15,66982.61,8.0,164.800769,414.000769
21,15.0,49.86,44289.97,25.0,703.96,1950.46
22,21.0,30.37,49404.86,23.0,630.61,1329.12
23,15.0,483.03,52702.67,3.0,389.3564432,1838.4464432
24,12.0,72.52,15860.41,3.207385793,529.03,761.62961770836
25,17.0,108.3,21725.57,21.0,225.0044276,2499.3044276
26,18.0,300.38,12069.06,7.0,777.31,2879.97
27,1.0,100.65,8515.5,6.0,757.7,1361.6
28,22.0,272.31,42743.44,12.0,687.26,3954.980000000001
29,17.0,174.18,29156.1,10.0,710.38,2452.1800000000003
30,4.0,127.37,15719.24,10.0,634.88,1908.58
31,20.0,162.93,31100.95,11.0,633.05,2425.28
32,18.0,498.09,48125.94,27.0,698.25,14146.679999999998
33,10.0,185.53,60143.68,4.0,836.08,1578.2
34,11.0,537.25,1773.49,6.0,711.76,3935.26
35,8.0,198.26,26105.24,7.0,721.36,2109.18
36,9.0,119.47,10101.48,28.0,158.5477645,3503.7077645
37,15.0,68.19,21111.9,23.0,574.01,2142.38
38,3.0,215.89,41979.65,9.0,698.25,2641.26
39,20.0,194.85,5912.06,13.0,568.34,3101.39
40,8.0,706.36,19062.25,16.0,780.58,12082.34
41,15.0,210.44,35531.98,25.0,745.49,6006.49
42,4.0,174.18,8415.63,17.0,650.44,3611.5
43,12.0,394.26,34697.85,19.0,752.3,8243.24
44,6.0,348.07,94100.72,4.0,824.95,2217.23
45,2.0,691.09,17989.46,16.0,698.25,11755.69
46,8.0,33.09,55607.35,16.0,698.25,1227.69
47,11.0,30.78,48080.03,10.0,713.62,1021.42
48,13.0,282.87,27528.03,27.0,743.8,8381.289999999999
49,20.0,100.42,86433.91,16.0,719.93,2326.65
50,18.0,154.7,24197.4,29.0,698.25,5184.549999999999
51,10.0,65.25,5136.08,16.0,755.22,1799.22
52,8.0,324.75,28535.13,27.0,770.31,9538.56
53,16.0,237.39,25000.09,16.0,704.4,4502.639999999999
54,20.0,148.24,30984.56,11.0,729.04,2359.6800000000003
55,16.0,773.83,9091.94,20.0,700.4,16177.0
56,13.0,117.68,19822.82,43.3600415,698.25,5800.85968372
57,18.0,251.06,63416.63,12.0,1087.184702,4099.904702
58,13.0,46.57,24045.93,8.0,709.73,1082.29
59,12.0,539.49,49270.76,12.0,503.95,6977.83
60,12.0,34.48,48679.07,6.0,779.59,986.47
61,9.0,174.18,13131.05,13.0,820.91,3085.25
62,13.0,283.49,7603.71,16.0,553.45,5089.29
63,3.0,33.82,39735.58,25.0,784.32,1629.8200000000002
64,20.0,156.06,4783.23,28.75639925,597.87,5085.593666955
65,12.0,31.67,25436.23,16.0,656.67,1163.39
66,4.0,157.03,22975.33,18.0,548.1,3374.64
67,11.0,227.23,29602.15,24.0,663.63,6117.15
68,4.0,457.33,20883.28,14.0,698.25,7100.87
69,6.0,228.02,46353.54,19.0,302.0058985,4634.3858985
70,18.0,42.77,8996.95,16.0,749.56,1433.88
71,13.0,207.52,12556.28,10.0,698.25,2773.4500000000003
72,13.0,98.57,2645.63,23.0,674.42,2941.53
73,23.0,176.31,8983.02,25.0,707.46,5115.21
74,17.0,687.16,29101.96,18.0,713.82,13082.7
75,13.0,253.96,19233.1,25.0,1032.199126,7381.199125999999
76,13.0,119.1,44341.82,16.0,563.92,2469.52
77,10.0,131.86,26399.43,17.0,757.01,2998.63
78,19.0,65.39,17054.69,21.0,353.3690015,1726.5590015
