customer_id,age,gender,region_category,membership_category,membership_grouped
1,18,F,Village,Platinum Membership,Paid
2,32,F,City,Premium Membership,Paid
3,44,F,Town,No Membership,No Membership
4,37,M,City,No Membership,No Membership
5,31,F,City,No Membership,No Membership
6,13,M,City,Gold Membership,Paid
7,21,M,Town,Gold Membership,Paid
8,42,M,Town,No Membership,No Membership
9,44,M,Village,Silver Membership,Paid
10,45,F,Town,No Membership,No Membership
11,25,F,Village,Basic Membership,Basic
12,60,M,City,Gold Membership,Paid
13,11,M,Town,No Membership,No Membership
14,34,M,City,Basic Membership,Basic
15,40,M,City,Premium Membership,Paid
16,16,F,Town,Basic Membership,Basic
17,57,F,City,No Membership,No Membership
18,11,M,Town,Silver Membership,Paid
19,39,M,Town,No Membership,No Membership
20,45,M,City,Premium Membership,Paid
21,33,M,Village,No Membership,No Membership
22,30,M,Village,No Membership,No Membership
23,19,F,Town,Platinum Membership,Paid
24,48,M,Town,Basic Membership,Basic
25,43,M,City,No Membership,No Membership
26,29,F,Town,Silver Membership,Paid
27,10,M,City,Gold Membership,Paid
28,20,F,Village,No Membership,No Membership
29,61,F,Village,Silver Membership,Paid
30,10,M,Town,Gold Membership,Paid
31,17,F,City,No Membership,No Membership
32,60,M,Town,No Membership,No Membership
33,11,F,Town,Gold Membership,Paid
34,60,M,City,Gold Membership,Paid
35,12,M,City,Premium Membership,Paid
36,52,M,Town,Silver Membership,Paid
37,30,M,City,Basic Membership,Basic
38,26,M,Town,No Membership,No Membership
39,26,F,Town,No Membership,No Membership
40,49,F,Village,Platinum Membership,Paid
41,24,M,City,Premium Membership,Paid
42,22,M,Town,No Membership,No Membership
43,33,F,Town,Premium Membership,Paid
44,17,M,City,Platinum Membership,Paid
45,36,M,Village,Silver Membership,Paid
46,12,M,City,Premium Membership,Paid
47,58,F,Village,Gold Membership,Paid
48,41,M,Town,Platinum Membership,Paid
49,30,M,City,Platinum Membership,Paid
50,50,M,City,Premium Membership,Paid
51,23,M,Village,Gold Membership,Paid
52,38,M,Town,Gold Membership,Paid
53,20,M,City,Silver Membership,Paid
54,35,F,Village,Gold Membership,Paid
55,43,M,Town,Premium Membership,Paid
56,32,M,City,Silver Membership,Paid
57,40,F,Town,Platinum Membership,Paid
58,40,F,Town,Silver Membership,Paid
59,48,F,Town,No Membership,No Membership
60,35,M,Town,Premium Membership,Paid
61,28,M,Village,Gold Membership,Paid
62,44,F,Town,No Membership,No Membership
63,40,M,Town,Premium Membership,Paid
64,18,F,City,Basic Membership,Basic
65,10,M,Town,Basic Membership,Basic
66,35,M,Town,No Membership,No Membership
67,43,M,Town,No Membership,No Membership
68,28,M,Village,Basic Membership,Basic
69,53,M,Town,Platinum Membership,Paid
70,55,F,Town,Premium Membership,Paid
71,59,F,Town,No Membership,No Membership
72,39,M,City,No Membership,No Membership
73,11,M,City,Gold Membership,Paid
74,37,M,Village,No Membership,No Membership
75,53,M,City,No Membership,No Membership
76,57,M,Town,No Membership,No Membership
77,47,M,Town,Silver Membership,Paid
78,50,M,Town,Gold Membership,Paid
79,49,F,City,Silver Membership,Paid
80,54,M,Town,Silver Membership,Paid
81,30,M,Village,Gold Membership,Paid
82,25,F,City,Silver Membership,Paid
83,53,F,City,Premium Membership,Paid
84,54,M,Town,Basic Membership,Basic
85,62,F,City,No Membership,No Membership
86,55,M,City,Platinum Membership,Paid
87,30,F,Town,No Membership,No Membership
88,30,M,City,Silver Membership,Paid
89,51,M,Town,Premium Membership,Paid
90,29,M,Village,Silver Membership,Paid
91,16,M,City,Silver Membership,Paid
92,25,F,Village,Gold Membership,Paid
