customer_id,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,used_special_discount,offer_application_preference
1,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,Yes
2,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,Yes,No
3,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes
4,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
5,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,No,Yes
6,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No
7,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,Yes,No
8,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,No,Yes
9,No,Without Offers,Smartphone,Fiber_Optic,Yes,No
10,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes
11,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,Yes,Yes
12,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,Yes,No
13,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,No
14,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,No,Yes
15,No,Without Offers,Desktop,Fiber_Optic,No,Yes
16,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,No
17,No,Without Offers,Desktop,Wi-Fi,Yes,Yes
18,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No
19,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,No
20,No,Without Offers,Desktop,Mobile_Data,Yes,No
21,No,Without Offers,Desktop,Wi-Fi,Yes,No
22,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,No
23,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
24,Yes,Without Offers,Smartphone,Fiber_Optic,No,Yes
25,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,No,Yes
26,No,Without Offers,Desktop,Fiber_Optic,No,Yes
27,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,No
28,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No
29,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,No
30,No,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,No
31,Yes,Without Offers,Desktop,Fiber_Optic,No,Yes
32,Yes,Without Offers,Desktop,Fiber_Optic,No,Yes
33,Yes,Without Offers,Desktop,Wi-Fi,Yes,No
34,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,Yes,Yes
35,No,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,No
36,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,Yes,No
37,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,Yes
38,Yes,Without Offers,Desktop,Wi-Fi,No,Yes
39,Yes,Without Offers,Desktop,Wi-Fi,Yes,No
40,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,Yes,No
41,Yes,Without Offers,Desktop,Fiber_Optic,Yes,No
42,Yes,Without Offers,Desktop,Wi-Fi,No,Yes
43,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,No
44,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,Yes
45,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
46,No,Without Offers,Desktop,Mobile_Data,Yes,No
47,No,Without Offers,Smartphone,Mobile_Data,Yes,No
48,No,Without Offers,Both,Fiber_Optic,Yes,No
49,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,No,Yes
50,No,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes
51,Yes,Without Offers,Desktop,Wi-Fi,No,Yes
52,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,Yes
53,Yes,Without Offers,Desktop,Fiber_Optic,No,Yes
54,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,No
55,Yes,Without Offers,Both,Wi-Fi,No,Yes
56,Yes,Without Offers,Desktop,Fiber_Optic,Yes,No
57,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,No,Yes
58,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,No,Yes
59,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,Yes,No
60,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,No
61,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,Yes,Yes
62,Yes,Without Offers,Both,Wi-Fi,Yes,Yes
63,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,No
64,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,Yes,No
65,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,No,Yes
66,Yes,Without Offers,Smartphone,Mobile_Data,No,Yes
67,No,Credit/Debit Card Offers,Desktop,Mobile_Data,No,Yes
68,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes
69,No,Without Offers,Desktop,Fiber_Optic,Yes,No
70,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,Yes,No
