customer_id,past_complaint,had_complaint,complaint_status,feedback
1,No,0,Not Applicable,Products always in Stock
2,Yes,1,Solved,Quality Customer Care
3,Yes,1,Solved in Follow-up,Poor Website
4,Yes,1,Unsolved,Poor Website
5,Yes,1,Solved,Poor Website
6,Yes,1,Unsolved,No reason specified
7,Yes,1,Solved in Follow-up,No reason specified
8,Yes,1,Unsolved,Poor Product Quality
9,Yes,1,Solved in Follow-up,Poor Customer Service
10,Yes,1,No Information Available,Poor Customer Service
11,No,0,Not Applicable,Poor Product Quality
12,No,0,Not Applicable,Too many ads
13,Yes,1,Unsolved,Poor Customer Service
14,No,0,Not Applicable,Poor Product Quality
15,No,0,Not Applicable,Poor Website
16,Yes,1,Unsolved,Too many ads
17,Yes,1,Solved in Follow-up,Too many ads
18,No,0,Not Applicable,Poor Customer Service
19,Yes,1,No Information Available,No reason specified
20,Yes,1,Unsolved,Products always in Stock
21,No,0,Not Applicable,Poor Customer Service
22,Yes,1,No Information Available,Poor Website
23,Yes,1,No Information Available,User Friendly Website
24,No,0,Not Applicable,No reason specified
25,No,0,Not Applicable,Poor Website
26,No,0,Not Applicable,Too many ads
27,No,0,Not Applicable,No reason specified
28,No,0,Not Applicable,Poor Product Quality
29,Yes,1,No Information Available,No reason specified
30,Yes,1,Unsolved,Poor Website
31,Yes,1,Solved,Too many ads
32,No,0,Not Applicable,Poor Product Quality
33,Yes,1,Solved in Follow-up,User Friendly Website
34,No,0,Not Applicable,Poor Product Quality
35,No,0,Not Applicable,Poor Customer Service
36,No,0,Not Applicable,Poor Website
37,Yes,1,Solved in Follow-up,Poor Customer Service
38,No,0,Not Applicable,Too many ads
39,No,0,Not Applicable,Too many ads
40,No,0,Not Applicable,Poor Product Quality
41,No,0,Not Applicable,Poor Product Quality
42,Yes,1,Solved in Follow-up,Too many ads
43,Yes,1,No Information Available,Poor Website
44,No,0,Not Applicable,User Friendly Website
45,Yes,1,Solved,No reason specified
46,No,0,Not Applicable,User Friendly Website
47,No,0,Not Applicable,Poor Product Quality
48,No,0,Not Applicable,Poor Website
49,Yes,1,Unsolved,Reasonable Price
50,Yes,1,Solved,Too many ads
51,No,0,Not Applicable,Poor Customer Service
52,Yes,1,Solved,Poor Customer Service
53,No,0,Not Applicable,Poor Website
54,No,0,Not Applicable,Poor Customer Service
55,No,0,Not Applicable,Poor Product Quality
56,No,0,Not Applicable,Too many ads
57,Yes,1,Solved in Follow-up,Products always in Stock
58,No,0,Not Applicable,Poor Product Quality
59,No,0,Not Applicable,Too many ads
60,No,0,Not Applicable,Poor Product Quality
61,No,0,Not Applicable,Quality Customer Care
62,Yes,1,Unsolved,No reason specified
63,Yes,1,No Information Available,Too many ads
64,Yes,1,No Information Available,Too many ads
65,No,0,Not Applicable,Poor Website
66,No,0,Not Applicable,Poor Website
67,Yes,1,Unsolved,Poor Product Quality
68,No,0,Not Applicable,Too many ads
69,Yes,1,No Information Available,No reason specified
70,Yes,1,Unsolved,Poor Website
71,No,0,Not Applicable,No reason specified
72,No,0,Not Applicable,Poor Product Quality
73,Yes,1,Solved,Poor Product Quality
74,No,0,Not Applicable,Poor Customer Service
75,Yes,1,Solved,Poor Website
76,Yes,1,No Information Available,Poor Customer Service
77,Yes,1,Solved in Follow-up,Poor Customer Service
78,Yes,1,Solved,No reason specified
79,Yes,1,Solved in Follow-up,No reason specified
80,Yes,1,No Information Available,Poor Website
81,No,0,Not Applicable,Poor Customer Service
82,Yes,1,Solved,Too many ads
83,Yes,1,Solved in Follow-up,Products always in Stock
84,Yes,1,Solved in Follow-up,Poor Product Quality
85,Yes,1,Solved,Too many ads
86,No,0,Not Applicable,No reason specified
87,No,0,Not Applicable,Too many ads
88,Yes,1,Solved in Follow-up,Poor Customer Service
89,Yes,1,Solved in Follow-up,Poor Customer Service
90,No,0,Not Applicable,No reason specified
